risk_factor,associated_condition,weight,is_modifiable,risk_type,recommended_action
Dehydration,Liver Disease,Critical,Yes,Lifestyle,Preventive
Dehydration,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Dehydration,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Dehydration,Respiratory Disorder,High,No,Medical,Immediate Attention
Dehydration,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Dehydration,Cancer,Low,No,Genetic,Moderate Monitoring
Dehydration,Cancer,Medium,Yes,Environmental,High Monitoring
Dehydration,Cancer,High,No,Medical,Immediate Attention
Dehydration,Cancer,Critical,Yes,Lifestyle,Preventive
Dehydration,Obesity,Low,No,Genetic,Moderate Monitoring
Dehydration,Obesity,Medium,Yes,Environmental,High Monitoring
Dehydration,Obesity,High,No,Medical,Immediate Attention
Dehydration,Obesity,Critical,Yes,Lifestyle,Preventive
Dehydration,Depression,Low,No,Genetic,Moderate Monitoring
Dehydration,Depression,Medium,Yes,Environmental,High Monitoring
Dehydration,Depression,High,No,Medical,Immediate Attention
Dehydration,Depression,Critical,Yes,Lifestyle,Preventive
Dehydration,Anxiety,Low,No,Genetic,Moderate Monitoring
Dehydration,Anxiety,Medium,Yes,Environmental,High Monitoring
Dehydration,Anxiety,High,No,Medical,Immediate Attention
Dehydration,Anxiety,Critical,Yes,Lifestyle,Preventive
Dehydration,Infection Risk,Low,No,Genetic,Moderate Monitoring
Dehydration,Infection Risk,Medium,Yes,Environmental,High Monitoring
Dehydration,Infection Risk,High,No,Medical,Immediate Attention
Dehydration,Infection Risk,Critical,Yes,Lifestyle,Preventive
Dehydration,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Dehydration,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Dehydration,Metabolic Disorder,High,No,Medical,Immediate Attention
Dehydration,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Dehydration,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Dehydration,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Dehydration,Autoimmune Disease,High,No,Medical,Immediate Attention
Dehydration,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Dehydration,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Dehydration,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Dehydration,Hormonal Disorder,High,No,Medical,Immediate Attention
Dehydration,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Poor Hygiene,Heart Disease,Low,No,Genetic,Moderate Monitoring
Poor Hygiene,Heart Disease,Medium,Yes,Environmental,High Monitoring
Poor Hygiene,Heart Disease,High,No,Medical,Immediate Attention
Poor Hygiene,Heart Disease,Critical,Yes,Lifestyle,Preventive
Poor Hygiene,Diabetes,Low,No,Genetic,Moderate Monitoring
Poor Hygiene,Diabetes,Medium,Yes,Environmental,High Monitoring
Poor Hygiene,Diabetes,High,No,Medical,Immediate Attention
Poor Hygiene,Diabetes,Critical,Yes,Lifestyle,Preventive
Poor Hygiene,Hypertension,Low,No,Genetic,Moderate Monitoring
Poor Hygiene,Hypertension,Medium,Yes,Environmental,High Monitoring
Poor Hygiene,Hypertension,High,No,Medical,Immediate Attention
Poor Hygiene,Hypertension,Critical,Yes,Lifestyle,Preventive
Poor Hygiene,Stroke,Low,No,Genetic,Moderate Monitoring
Poor Hygiene,Stroke,Medium,Yes,Environmental,High Monitoring
Poor Hygiene,Stroke,High,No,Medical,Immediate Attention
Poor Hygiene,Stroke,Critical,Yes,Lifestyle,Preventive
Poor Hygiene,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Poor Hygiene,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Poor Hygiene,Kidney Disease,High,No,Medical,Immediate Attention
Poor Hygiene,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Poor Hygiene,Liver Disease,Low,No,Genetic,Moderate Monitoring
Poor Hygiene,Liver Disease,Medium,Yes,Environmental,High Monitoring
Poor Hygiene,Liver Disease,High,No,Medical,Immediate Attention
Poor Hygiene,Liver Disease,Critical,Yes,Lifestyle,Preventive
Poor Hygiene,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Poor Hygiene,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Poor Hygiene,Respiratory Disorder,High,No,Medical,Immediate Attention
Poor Hygiene,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Poor Hygiene,Cancer,Low,No,Genetic,Moderate Monitoring
Poor Hygiene,Cancer,Medium,Yes,Environmental,High Monitoring
Poor Hygiene,Cancer,High,No,Medical,Immediate Attention
Poor Hygiene,Cancer,Critical,Yes,Lifestyle,Preventive
Poor Hygiene,Obesity,Low,No,Genetic,Moderate Monitoring
Poor Hygiene,Obesity,Medium,Yes,Environmental,High Monitoring
Poor Hygiene,Obesity,High,No,Medical,Immediate Attention
Poor Hygiene,Obesity,Critical,Yes,Lifestyle,Preventive
Poor Hygiene,Depression,Low,No,Genetic,Moderate Monitoring
Poor Hygiene,Depression,Medium,Yes,Environmental,High Monitoring
Poor Hygiene,Depression,High,No,Medical,Immediate Attention
Poor Hygiene,Depression,Critical,Yes,Lifestyle,Preventive
Poor Hygiene,Anxiety,Low,No,Genetic,Moderate Monitoring
Poor Hygiene,Anxiety,Medium,Yes,Environmental,High Monitoring
Poor Hygiene,Anxiety,High,No,Medical,Immediate Attention
Poor Hygiene,Anxiety,Critical,Yes,Lifestyle,Preventive
Poor Hygiene,Infection Risk,Low,No,Genetic,Moderate Monitoring
Poor Hygiene,Infection Risk,Medium,Yes,Environmental,High Monitoring
Poor Hygiene,Infection Risk,High,No,Medical,Immediate Attention
Poor Hygiene,Infection Risk,Critical,Yes,Lifestyle,Preventive
Poor Hygiene,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Poor Hygiene,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Poor Hygiene,Metabolic Disorder,High,No,Medical,Immediate Attention
Poor Hygiene,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Poor Hygiene,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Poor Hygiene,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Poor Hygiene,Autoimmune Disease,High,No,Medical,Immediate Attention
Poor Hygiene,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Poor Hygiene,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Poor Hygiene,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Poor Hygiene,Hormonal Disorder,High,No,Medical,Immediate Attention
Poor Hygiene,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Travel History,Heart Disease,Low,No,Genetic,Moderate Monitoring
Travel History,Heart Disease,Medium,Yes,Environmental,High Monitoring
Travel History,Heart Disease,High,No,Medical,Immediate Attention
Travel History,Heart Disease,Critical,Yes,Lifestyle,Preventive
Travel History,Diabetes,Low,No,Genetic,Moderate Monitoring
Travel History,Diabetes,Medium,Yes,Environmental,High Monitoring
Travel History,Diabetes,High,No,Medical,Immediate Attention
Travel History,Diabetes,Critical,Yes,Lifestyle,Preventive
Travel History,Hypertension,Low,No,Genetic,Moderate Monitoring
Travel History,Hypertension,Medium,Yes,Environmental,High Monitoring
Travel History,Hypertension,High,No,Medical,Immediate Attention
Travel History,Hypertension,Critical,Yes,Lifestyle,Preventive
Travel History,Stroke,Low,No,Genetic,Moderate Monitoring
Travel History,Stroke,Medium,Yes,Environmental,High Monitoring
Travel History,Stroke,High,No,Medical,Immediate Attention
Travel History,Stroke,Critical,Yes,Lifestyle,Preventive
Travel History,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Travel History,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Travel History,Kidney Disease,High,No,Medical,Immediate Attention
Travel History,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Travel History,Liver Disease,Low,No,Genetic,Moderate Monitoring
Travel History,Liver Disease,Medium,Yes,Environmental,High Monitoring
Travel History,Liver Disease,High,No,Medical,Immediate Attention
Travel History,Liver Disease,Critical,Yes,Lifestyle,Preventive
Travel History,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Travel History,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Travel History,Respiratory Disorder,High,No,Medical,Immediate Attention
Travel History,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Travel History,Cancer,Low,No,Genetic,Moderate Monitoring
Travel History,Cancer,Medium,Yes,Environmental,High Monitoring
Travel History,Cancer,High,No,Medical,Immediate Attention
Travel History,Cancer,Critical,Yes,Lifestyle,Preventive
Travel History,Obesity,Low,No,Genetic,Moderate Monitoring
Travel History,Obesity,Medium,Yes,Environmental,High Monitoring
Travel History,Obesity,High,No,Medical,Immediate Attention
Travel History,Obesity,Critical,Yes,Lifestyle,Preventive
Travel History,Depression,Low,No,Genetic,Moderate Monitoring
Travel History,Depression,Medium,Yes,Environmental,High Monitoring
Travel History,Depression,High,No,Medical,Immediate Attention
Travel History,Depression,Critical,Yes,Lifestyle,Preventive
Travel History,Anxiety,Low,No,Genetic,Moderate Monitoring
Travel History,Anxiety,Medium,Yes,Environmental,High Monitoring
Travel History,Anxiety,High,No,Medical,Immediate Attention
Travel History,Anxiety,Critical,Yes,Lifestyle,Preventive
Travel History,Infection Risk,Low,No,Genetic,Moderate Monitoring
Travel History,Infection Risk,Medium,Yes,Environmental,High Monitoring
Travel History,Infection Risk,High,No,Medical,Immediate Attention
Travel History,Infection Risk,Critical,Yes,Lifestyle,Preventive
Travel History,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Travel History,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Travel History,Metabolic Disorder,High,No,Medical,Immediate Attention
Travel History,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Travel History,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Travel History,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Travel History,Autoimmune Disease,High,No,Medical,Immediate Attention
Travel History,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Travel History,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Travel History,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Travel History,Hormonal Disorder,High,No,Medical,Immediate Attention
Travel History,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Unsafe Water Intake,Heart Disease,Low,No,Genetic,Moderate Monitoring
Unsafe Water Intake,Heart Disease,Medium,Yes,Environmental,High Monitoring
Unsafe Water Intake,Heart Disease,High,No,Medical,Immediate Attention
Unsafe Water Intake,Heart Disease,Critical,Yes,Lifestyle,Preventive
Unsafe Water Intake,Diabetes,Low,No,Genetic,Moderate Monitoring
Unsafe Water Intake,Diabetes,Medium,Yes,Environmental,High Monitoring
Unsafe Water Intake,Diabetes,High,No,Medical,Immediate Attention
Unsafe Water Intake,Diabetes,Critical,Yes,Lifestyle,Preventive
Unsafe Water Intake,Hypertension,Low,No,Genetic,Moderate Monitoring
Unsafe Water Intake,Hypertension,Medium,Yes,Environmental,High Monitoring
Unsafe Water Intake,Hypertension,High,No,Medical,Immediate Attention
Unsafe Water Intake,Hypertension,Critical,Yes,Lifestyle,Preventive
Unsafe Water Intake,Stroke,Low,No,Genetic,Moderate Monitoring
Unsafe Water Intake,Stroke,Medium,Yes,Environmental,High Monitoring
Unsafe Water Intake,Stroke,High,No,Medical,Immediate Attention
Unsafe Water Intake,Stroke,Critical,Yes,Lifestyle,Preventive
Unsafe Water Intake,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Unsafe Water Intake,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Unsafe Water Intake,Kidney Disease,High,No,Medical,Immediate Attention
Unsafe Water Intake,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Unsafe Water Intake,Liver Disease,Low,No,Genetic,Moderate Monitoring
Unsafe Water Intake,Liver Disease,Medium,Yes,Environmental,High Monitoring
Unsafe Water Intake,Liver Disease,High,No,Medical,Immediate Attention
Unsafe Water Intake,Liver Disease,Critical,Yes,Lifestyle,Preventive
Unsafe Water Intake,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Unsafe Water Intake,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Unsafe Water Intake,Respiratory Disorder,High,No,Medical,Immediate Attention
Unsafe Water Intake,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Unsafe Water Intake,Cancer,Low,No,Genetic,Moderate Monitoring
Unsafe Water Intake,Cancer,Medium,Yes,Environmental,High Monitoring
Unsafe Water Intake,Cancer,High,No,Medical,Immediate Attention
Unsafe Water Intake,Cancer,Critical,Yes,Lifestyle,Preventive
Unsafe Water Intake,Obesity,Low,No,Genetic,Moderate Monitoring
Unsafe Water Intake,Obesity,Medium,Yes,Environmental,High Monitoring
Unsafe Water Intake,Obesity,High,No,Medical,Immediate Attention
Unsafe Water Intake,Obesity,Critical,Yes,Lifestyle,Preventive
Unsafe Water Intake,Depression,Low,No,Genetic,Moderate Monitoring
Unsafe Water Intake,Depression,Medium,Yes,Environmental,High Monitoring
Unsafe Water Intake,Depression,High,No,Medical,Immediate Attention
Unsafe Water Intake,Depression,Critical,Yes,Lifestyle,Preventive
Unsafe Water Intake,Anxiety,Low,No,Genetic,Moderate Monitoring
Unsafe Water Intake,Anxiety,Medium,Yes,Environmental,High Monitoring
Unsafe Water Intake,Anxiety,High,No,Medical,Immediate Attention
Unsafe Water Intake,Anxiety,Critical,Yes,Lifestyle,Preventive
Unsafe Water Intake,Infection Risk,Low,No,Genetic,Moderate Monitoring
Unsafe Water Intake,Infection Risk,Medium,Yes,Environmental,High Monitoring
Unsafe Water Intake,Infection Risk,High,No,Medical,Immediate Attention
Unsafe Water Intake,Infection Risk,Critical,Yes,Lifestyle,Preventive
Unsafe Water Intake,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Unsafe Water Intake,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Unsafe Water Intake,Metabolic Disorder,High,No,Medical,Immediate Attention
Unsafe Water Intake,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Unsafe Water Intake,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Unsafe Water Intake,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Unsafe Water Intake,Autoimmune Disease,High,No,Medical,Immediate Attention
Unsafe Water Intake,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Unsafe Water Intake,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Unsafe Water Intake,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Unsafe Water Intake,Hormonal Disorder,High,No,Medical,Immediate Attention
Unsafe Water Intake,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Unprotected Exposure,Heart Disease,Low,No,Genetic,Moderate Monitoring
Unprotected Exposure,Heart Disease,Medium,Yes,Environmental,High Monitoring
Unprotected Exposure,Heart Disease,High,No,Medical,Immediate Attention
Unprotected Exposure,Heart Disease,Critical,Yes,Lifestyle,Preventive
Unprotected Exposure,Diabetes,Low,No,Genetic,Moderate Monitoring
Unprotected Exposure,Diabetes,Medium,Yes,Environmental,High Monitoring
Unprotected Exposure,Diabetes,High,No,Medical,Immediate Attention
Unprotected Exposure,Diabetes,Critical,Yes,Lifestyle,Preventive
Unprotected Exposure,Hypertension,Low,No,Genetic,Moderate Monitoring
Unprotected Exposure,Hypertension,Medium,Yes,Environmental,High Monitoring
Unprotected Exposure,Hypertension,High,No,Medical,Immediate Attention
Unprotected Exposure,Hypertension,Critical,Yes,Lifestyle,Preventive
Unprotected Exposure,Stroke,Low,No,Genetic,Moderate Monitoring
Unprotected Exposure,Stroke,Medium,Yes,Environmental,High Monitoring
Unprotected Exposure,Stroke,High,No,Medical,Immediate Attention
Unprotected Exposure,Stroke,Critical,Yes,Lifestyle,Preventive
Unprotected Exposure,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Unprotected Exposure,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Unprotected Exposure,Kidney Disease,High,No,Medical,Immediate Attention
Unprotected Exposure,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Unprotected Exposure,Liver Disease,Low,No,Genetic,Moderate Monitoring
Unprotected Exposure,Liver Disease,Medium,Yes,Environmental,High Monitoring
Unprotected Exposure,Liver Disease,High,No,Medical,Immediate Attention
Unprotected Exposure,Liver Disease,Critical,Yes,Lifestyle,Preventive
Unprotected Exposure,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Unprotected Exposure,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Unprotected Exposure,Respiratory Disorder,High,No,Medical,Immediate Attention
Unprotected Exposure,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Unprotected Exposure,Cancer,Low,No,Genetic,Moderate Monitoring
Unprotected Exposure,Cancer,Medium,Yes,Environmental,High Monitoring
Unprotected Exposure,Cancer,High,No,Medical,Immediate Attention
Unprotected Exposure,Cancer,Critical,Yes,Lifestyle,Preventive
Unprotected Exposure,Obesity,Low,No,Genetic,Moderate Monitoring
Unprotected Exposure,Obesity,Medium,Yes,Environmental,High Monitoring
Unprotected Exposure,Obesity,High,No,Medical,Immediate Attention
Unprotected Exposure,Obesity,Critical,Yes,Lifestyle,Preventive
Unprotected Exposure,Depression,Low,No,Genetic,Moderate Monitoring
Unprotected Exposure,Depression,Medium,Yes,Environmental,High Monitoring
Unprotected Exposure,Depression,High,No,Medical,Immediate Attention
Unprotected Exposure,Depression,Critical,Yes,Lifestyle,Preventive
Unprotected Exposure,Anxiety,Low,No,Genetic,Moderate Monitoring
Unprotected Exposure,Anxiety,Medium,Yes,Environmental,High Monitoring
