id,disease_name,category,severity,target_demographic,symptoms,description,medical_advice
639,Osteoarthritis,Musculoskeletal,Acute,General,"joint pain, stiffness, tenderness, loss of flexibility","Acute case of Osteoarthritis. The most common form of arthritis, caused by wear and tear of cartilage. Target demographic: General.",Apply ice or heat to the affected area.
640,Influenza,Respiratory,Severe,Child,"high fever, chills, muscle aches, fatigue, cough, fatigue, dehydration",Severe case of Influenza. A contagious respiratory illness caused by influenza viruses. Target demographic: Child.,Consult a doctor if symptoms persist for more than 48 hours.
641,Influenza B,Respiratory,Mild,Female,"fever,  chills","Mild case of Influenza B. A specific strain of the flu virus, typically appearing in seasonal outbreaks. Target demographic: Female.",Consult a doctor if symptoms persist for more than 48 hours.
642,Sinusitis,Respiratory,Chronic,Female,"facial pain, thick nasal discharge, headache, cough",Chronic case of Sinusitis. Inflammation or swelling of the tissue lining the sinuses. Target demographic: Female.,Seek immediate medical attention.
643,Gingivitis,Dental,Moderate,Child,"swollen gums, bleeding gums, bad breath, receding gums",Moderate case of Gingivitis. A common and mild form of gum disease that causes irritation. Target demographic: Child.,Monitor symptoms closely.
644,Bronchitis,Respiratory,Acute,Elderly,"cough with mucus, fatigue, shortness of breath, chest discomfort",Acute case of Bronchitis. Inflammation of the bronchial tubes. Target demographic: Elderly.,Home remedies can alleviate symptoms.
645,Ear Infection,Ears,Moderate,Child,"ear pain, difficulty hearing, drainage from ear",Moderate case of Ear Infection. A bacterial or viral infection that affects the middle ear. Target demographic: Child.,Rest and hydration recommended.
646,Bunion,Musculoskeletal,Mild,General,"bump on big toe joint,  redness",Mild case of Bunion. A bony bump that forms on the joint at the base of your big toe. Target demographic: General.,Consult a doctor if symptoms persist for more than 48 hours.
647,Laryngitis,Respiratory,Moderate,General,"hoarseness, weak voice, sore throat, dry cough","Moderate case of Laryngitis. Inflammation of the voice box (larynx) from overuse, irritation or infection. Target demographic: General.",Home remedies can alleviate symptoms.
648,Dehydration,Metabolic,Mild,Elderly,"extreme thirst,  dry mouth",Mild case of Dehydration. Occurs when you use or lose more fluid than you take in. Target demographic: Elderly.,Seek immediate medical attention.
649,Hemorrhoids,Digestive,Acute,General,"rectal bleeding, itching, pain, swelling",Acute case of Hemorrhoids. Swollen veins in the lowest part of your rectum and anus. Target demographic: General.,Apply ice or heat to the affected area.
650,Menstrual Cramps,Reproductive,Severe,Child,"throbbing pain in lower abdomen, nausea, headache, fatigue, dehydration",Severe case of Menstrual Cramps. Pain in the lower abdomen that occurs during a menstrual period. Target demographic: Child.,Consult a doctor if symptoms persist for more than 48 hours.
651,Pink Eye,Eyes,Moderate,Female,"redness, itching, discharge, tearing",Moderate case of Pink Eye. Inflammation or infection of the transparent membrane lining the eyelid. Target demographic: Female.,Seek immediate medical attention.
652,Canker Sore,Dental,Mild,General,"small ulcer in mouth,  pain","Mild case of Canker Sore. A small, shallow lesion on the soft tissues in your mouth. Target demographic: General.",Apply ice or heat to the affected area.
653,Contact Dermatitis,Skin,Severe,Adult,"red rash, itching, dry skin, blisters, fatigue, dehydration",Severe case of Contact Dermatitis. A skin reaction caused by contact with an allergen or irritant. Target demographic: Adult.,Rest and hydration recommended.
654,Acid Reflux,Digestive,Chronic,Child,"heartburn, chest pain, regurgitation, difficulty swallowing",Chronic case of Acid Reflux. A digestive disease where stomach acid irritates the food pipe. Target demographic: Child.,Prescription medication might be required.
655,Strep Throat,Respiratory,Moderate,Female,"throat pain, fever, swollen lymph nodes, white patches on tonsils",Moderate case of Strep Throat. A bacterial infection that causes inflammation and pain in the throat. Target demographic: Female.,Avoid triggers like spicy food or allergens.
656,Migraine,Neurological,Severe,Female,"severe headache, nausea, sensitivity to light, blurred vision, fatigue, dehydration",Severe case of Migraine. A neurological condition characterized by intense headaches. Target demographic: Female.,Avoid triggers like spicy food or allergens.
657,Pink Eye,Eyes,Moderate,General,"redness, itching, discharge, tearing",Moderate case of Pink Eye. Inflammation or infection of the transparent membrane lining the eyelid. Target demographic: General.,Monitor symptoms closely.
658,Hypertension,Cardiovascular,Chronic,Adult,"headaches, shortness of breath, nosebleeds",Chronic case of Hypertension. High blood pressure is a common condition where blood pressure is elevated. Target demographic: Adult.,Seek immediate medical attention.
659,Muscle Strain,Musculoskeletal,Severe,Male,"sudden pain, swelling, muscle weakness, bruising, fatigue, dehydration",Severe case of Muscle Strain. Damage to a muscle or its attaching tendons. Target demographic: Male.,Rest and hydration recommended.
660,Sinusitis,Respiratory,Moderate,Male,"facial pain, thick nasal discharge, headache, cough",Moderate case of Sinusitis. Inflammation or swelling of the tissue lining the sinuses. Target demographic: Male.,Monitor symptoms closely.
661,Heat Exhaustion,Environmental,Moderate,Elderly,"heavy sweating, faintness, dizziness, fatigue, cool skin",Moderate case of Heat Exhaustion. A condition where the body overheats due to exposure to high temperatures. Target demographic: Elderly.,Avoid triggers like spicy food or allergens.
662,Migraine,Neurological,Acute,Male,"severe headache, nausea, sensitivity to light, blurred vision",Acute case of Migraine. A neurological condition characterized by intense headaches. Target demographic: Male.,Home remedies can alleviate symptoms.
663,Urinary Tract Infection,Urinary,Severe,Male,"burning during urination, frequent urge to urinate, cloudy urine, fatigue, dehydration",Severe case of Urinary Tract Infection. An infection in any part of the urinary system. Target demographic: Male.,Avoid triggers like spicy food or allergens.
664,Constipation,Digestive,Acute,Female,"infrequent bowel movements, hard stools, straining",Acute case of Constipation. Infrequent bowel movements or difficult passage of stools. Target demographic: Female.,Monitor symptoms closely.
665,Lower Back Pain,Musculoskeletal,Moderate,Adult,"pain in lower back, stiffness, reduced range of motion","Moderate case of Lower Back Pain. Common disorder involving the muscles, nerves, and bones of the back. Target demographic: Adult.",Rest and hydration recommended.
666,Contact Dermatitis,Skin,Acute,Elderly,"red rash, itching, dry skin, blisters",Acute case of Contact Dermatitis. A skin reaction caused by contact with an allergen or irritant. Target demographic: Elderly.,Prescription medication might be required.
667,Urinary Tract Infection,Urinary,Severe,Child,"burning during urination, frequent urge to urinate, cloudy urine, fatigue, dehydration",Severe case of Urinary Tract Infection. An infection in any part of the urinary system. Target demographic: Child.,Consult a doctor if symptoms persist for more than 48 hours.
668,Nausea,Digestive,Severe,Female,"feeling sick to stomach, urge to vomit, dizziness, fatigue, dehydration",Severe case of Nausea. An uncomfortable sensation in the stomach that leads to an urge to vomit. Target demographic: Female.,Consult a doctor if symptoms persist for more than 48 hours.
669,Hives,Skin,Chronic,Child,"red welts, itching, swelling, burning sensation","Chronic case of Hives. A skin reaction that causes itchy welts, often triggered by allergens. Target demographic: Child.",Monitor symptoms closely.
670,Hemorrhoids,Digestive,Mild,Female,"rectal bleeding,  itching",Mild case of Hemorrhoids. Swollen veins in the lowest part of your rectum and anus. Target demographic: Female.,Seek immediate medical attention.
671,Pink Eye,Eyes,Moderate,General,"redness, itching, discharge, tearing",Moderate case of Pink Eye. Inflammation or infection of the transparent membrane lining the eyelid. Target demographic: General.,Home remedies can alleviate symptoms.
672,Sunburn,Skin,Severe,Elderly,"red skin, pain, swelling, blisters, fatigue, dehydration",Severe case of Sunburn. Skin damage caused by ultraviolet (UV) rays from the sun. Target demographic: Elderly.,Consult a doctor if symptoms persist for more than 48 hours.
673,Gastroenteritis,Digestive,Chronic,General,"diarrhea, stomach cramps, nausea, vomiting","Chronic case of Gastroenteritis. Inflammation of the stomach and intestines, often called stomach flu. Target demographic: General.",Home remedies can alleviate symptoms.
674,Cold Sore,Skin,Severe,Female,"tingling, blisters on lip, pain, itching, fatigue, dehydration",Severe case of Cold Sore. A group of fluid-filled blisters caused by the herpes simplex virus. Target demographic: Female.,Over-the-counter medication may help.
675,Viral Pharyngitis,Respiratory,Chronic,General,"sore throat, scratchy throat, difficulty swallowing","Chronic case of Viral Pharyngitis. Inflammation of the pharynx, usually caused by a viral infection. Target demographic: General.",Seek immediate medical attention.
676,Influenza,Respiratory,Mild,Elderly,"high fever,  chills",Mild case of Influenza. A contagious respiratory illness caused by influenza viruses. Target demographic: Elderly.,Maintain good hygiene.
677,Gastroenteritis,Digestive,Moderate,Child,"diarrhea, stomach cramps, nausea, vomiting","Moderate case of Gastroenteritis. Inflammation of the stomach and intestines, often called stomach flu. Target demographic: Child.",Prescription medication might be required.
678,Muscle Strain,Musculoskeletal,Moderate,Adult,"sudden pain, swelling, muscle weakness, bruising",Moderate case of Muscle Strain. Damage to a muscle or its attaching tendons. Target demographic: Adult.,Apply ice or heat to the affected area.
679,Viral Pharyngitis,Respiratory,Severe,Elderly,"sore throat, scratchy throat, difficulty swallowing, fatigue, dehydration","Severe case of Viral Pharyngitis. Inflammation of the pharynx, usually caused by a viral infection. Target demographic: Elderly.",Seek immediate medical attention.
680,Pink Eye,Eyes,Mild,General,"redness,  itching",Mild case of Pink Eye. Inflammation or infection of the transparent membrane lining the eyelid. Target demographic: General.,Prescription medication might be required.
681,Nausea,Digestive,Moderate,Adult,"feeling sick to stomach, urge to vomit, dizziness",Moderate case of Nausea. An uncomfortable sensation in the stomach that leads to an urge to vomit. Target demographic: Adult.,Avoid triggers like spicy food or allergens.
